faction_id|type_id|type_name|subtype_id|subtype_name|line|name|description|legend|ability_type|is_reaction|condition|keywords|ability_phase|points_type|points|
BoC|000000477|Artefacts of Power|000001926|Anarchic Relics|2|SLITHERWRACK HELM|<b>Effect:</b> Subtract 1 from <a href="/aos4/the-rules/the-core-rules/#Charge-Phase">charge rolls</a> for enemy units while they are within 12" of this unit.|This war-helm was fashioned from the skull of an infamous toad dragon; its pure repulsiveness causes enemies to retch and reel, rendering them helpless in their disgust.|Movement|false|Passive||Charge Phase|||
BoC|000000477|Artefacts of Power|000001926|Anarchic Relics|3|GNARLSTAFF OF MORGHUR|<b>Declare:</b> Pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> enemy unit within 12" of this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 2+, <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">ward rolls</a> cannot be made for the target for the rest of the turn.|Infused with the corrupting taint of the Shadowgave, the hideous mewling sounds emitted by this staff unmake the arcane wards of the enemy.|Offensive|false|Your Hero Phase||Hero Phase|||
BoC|000000477|Artefacts of Power|000001926|Anarchic Relics|4|BRAYBLAST TRUMPET|<b>Declare:</b> Pick a friendly <span class="tooltip00362" data-tooltip-content="#tooltip_content00362" data-tooltip-anchor="#tooltip_content00362"><span class="kwnon">non-</span><span class="kwb">UNIQUE</span> <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">INFANTRY</span></span> or <span class="tooltip00363" data-tooltip-content="#tooltip_content00363" data-tooltip-anchor="#tooltip_content00363"><span class="kwnon">non-</span><span class="kwb">CAVALRY</span></span> unit that started the battle with 2 or more models and that has been destroyed to be the target.<br><br><b>Effect:</b> Roll a dice. On a 4+, set up a replacement unit with half the number of models from the target unit (rounding up) wholly within 12" of a battlefield edge and more than 9" from all enemy units.|Carved from the bone of a Shaggoth, the thunderous blasts of this horn draw the true children of Chaos towards it.|Rallying|false|Your Movement Phase||Movement Phase|||
BoC|000000479|Battle Formations|000001932|Thunderscorn Stormherd|2|RAGING STORM|<b>Declare:</b> Pick each friendly <span class="tooltip00364" data-tooltip-content="#tooltip_content00364" data-tooltip-anchor="#tooltip_content00364"><span class="kwb">THUNDERSCORN</span></span> unit on the battlefield to be the friendly targets, then pick each enemy unit in combat with any friendly <span class="kwb">THUNDERSCORN</span> units to be the enemy targets.<br><br><b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (1)</a></b> each friendly target. Then, roll a D3 for each enemy target, if any. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the enemy target equal to the roll.|Lightning arcs down to the battlefield, imbuing the Thunderscorn with renewed vigour and smiting their enemies with lethal crackling energy.|Special|false|Your Hero Phase||Hero Phase|||
BoC|000000479|Battle Formations|000001931|Marauding Brayherd|2|FIENDS OF THE WILDS|<b>Effect:</b> Change one of the dice in the <a href="/aos4/the-rules/the-core-rules/#Charge-Phase">charge roll</a> to a 4.|To the blasting of brayhorns come the roaming brayherds, stampeding from all directions to tear the enemy asunder.|Movement|false|Once Per Turn (Army), Reaction: You declared a <ky>Charge</ky> ability for a friendly %000002677Brayherd% unit||Charge Phase|||
BoC|000000479|Battle Formations|000001930|Almighty Beastherd|2|ARCH-DESPOILERS|<b>Effect:</b> Add 1 to <a href="">hit rolls</a> for <a href="">combat attacks</a> made by friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> units that target an enemy unit that is <a href="/aos4/the-rules/the-core-rules/#Contesting-Objectives">contesting an objective</a> you do not control.|The rampaging creatures of the beastherds despise all aspects of civilisation, and they will tear down monuments with their bare hands if necessary.|Offensive|false|Passive||Combat Phase|||
BoC|000000479|Battle Formations|000001929|Hungering Warherd|2|BLOODGREED|<b>Declare:</b> Pick each friendly <span class="tooltip00148" data-tooltip-content="#tooltip_content00148" data-tooltip-anchor="#tooltip_content00148"><span class="kwb">WARHERD</span></span> unit that used a <span class="kwb">FIGHT</span> ability this turn to be the targets.<br><br><b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (3)</a></b> each target.|Those beastmen in the throes of the bloodgreed who sate their cursed hunger for flesh are all but impossible to put down.|Defensive|false|End of Any Turn||End of Turn|||
BoC|000000475|Battle Traits|000001924|Battle Traits|2|MASTERS OF THE WILDERNESS|<b>Declare:</b> Pick a friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> unit that has not been deployed.<br><br><b>Effect:</b> Set up that unit in reserve <b>in ambush</b>. It has now been deployed.<br><br><b>Designer’s Note:</b> <i>Any number of friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> units can start the battle in reserve – even your entire Beasts of Chaos army!</i>|The wild lands of the Mortal Realms are the territory of the Beasts of Chaos, and they have dwelt in these places for longer than can be remembered.|Special|false|Deployment Phase|Deploy|Start of Turn|||
BoC|000000475|Battle Traits|000001924|Battle Traits|3|BEASTHERD AMBUSH|<b>Declare:</b> Pick a friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> unit that is <b>in ambush</b>.<br><br><b>Effect:</b> Set up that unit on the battlefield wholly within 9" of a battlefield edge and more than 9" from all enemy units.<br><br>For the rest of the turn, add 1 to <a href="/aos4/the-rules/the-core-rules/#Charge-Phase">charge rolls</a> for that unit.|As the beasts close upon their foes, horn-blasts sound in every direction, signalling the launch of a deadly ambush.|Movement|false|Your Movement Phase||Movement Phase|||
BoC|000000475|Battle Traits|000001924|Battle Traits|4|RITUALS OF RUIN|<b>Effect:</b> Pick 1 of the following effects:<br><br><i><b>Warping Curse:</b></i> Pick an enemy unit within 12" of a friendly <span class="tooltip00146" data-tooltip-content="#tooltip_content00146" data-tooltip-anchor="#tooltip_content00146"><span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">HERO</span></span> or, if there is a friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">HERO</span> in reserve, within 12" of a battlefield edge to be the target. Then, roll a D3. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.<br><br><i><b>Brand of Wild Fury:</b></i> Pick a friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> unit wholly within 12" of a friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span c|The mightiest of the beastmen worship the power of primeval Chaos, slaughtering and devouring in order to be blessed with strength or to force their opponents into throes of primal savagery.|Special|false|Once Per Turn (Army), Your Hero Phase||Hero Phase|||
BoC|000000476|Heroic Traits|000001925|Alphabeast Instincts|2|DEATH-GRIP|<b>Effect:</b> If that friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> unit is not in combat and is wholly within 18" of this unit, after the <span class="kwb">SHOOT</span> ability has been resolved, that friendly unit can move 2D6". It can move into combat.|As the enemy brings their firepower to bear, this general urges their kin to stay within claw’s grasp of their assailants.|Movement|true|Once Per Turn, Reaction: Opponent declared a <ky>Shoot</ky> ability that targeted a friendly Beasts of Chaos unit||Shooting Phase|||
BoC|000000476|Heroic Traits|000001925|Alphabeast Instincts|3|BESTIAL CUNNING|<b>Declare:</b> Pick up to 3 friendly <span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> units wholly within 12" of this unit that were set up this turn using the ‘<a href="/aos4/factions/beasts-of-chaos/#Battle-Traits">Beastherd Ambush</a>’ ability to be the targets.<br><br><b>Effect:</b> Each target can immediately move D3". The targets cannot move into combat during any part of that move.|Bestial warlords might lack the tactical nous of trained soldiers, but there are few creatures more adept at sniffing out an enemy’s weakness and violently exploiting it.|Movement|false|Your Movement Phase||Movement Phase|||
BoC|000000476|Heroic Traits|000001925|Alphabeast Instincts|4|PROPAGATOR OF RUIN|<b>Effect:</b> While this unit is on the battlefield, you can use the ‘<a href="/aos4/factions/beasts-of-chaos/#Battle-Traits">Rituals of Ruin</a>’ ability twice per turn in your hero phase instead of once per turn. You cannot pick the same effect more than once per turn.|This general seethes with anarchic power and with their every action seeks to promulgate the majesty of Chaos.|Special|false|Passive||Hero Phase|||
BoC|000000519|Manifestation Lore|000001927|Bestial Manifestations|2|SUMMON WILDFIRE TAURUS|<b>Declare:</b> If there is not a friendly <a href="/aos4/factions/beasts-of-chaos/Wildfire-Taurus"><b>Wildfire Taurus</b></a> on the battlefield, pick a friendly <span class="tooltip00365" data-tooltip-content="#tooltip_content00365" data-tooltip-anchor="#tooltip_content00365"><span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">WIZARD</span></span> to cast this spell, then make a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> of 2D6.<br><br><b>Effect:</b> Set up a <b>Wildfire Taurus</b> wholly within 18" of the caster and more than 9" from all enemy units.|Wisps of flame develop into a roaring, charging beast of black smoke and wildfire.|Special|false|Your Hero Phase|Summon, Spell|Hero Phase|Spell|7|
BoC|000000519|Manifestation Lore|000001927|Bestial Manifestations|3|SUMMON RAVENING DIREFLOCK|<b>Declare:</b> If there is not a friendly <a href="/aos4/factions/beasts-of-chaos/Ravening-Direflock"><b>Ravening Direflock</b></a> on the battlefield, pick a friendly <span class="tooltip00365" data-tooltip-content="#tooltip_content00365" data-tooltip-anchor="#tooltip_content00365"><span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">WIZARD</span></span> to cast this spell, then make a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> of 2D6.<br><br><b>Effect:</b> Set up a <b>Ravening Direflock</b> wholly within 18" of the caster and more than 9" from all enemy units. A <b>Ravening Direflock</b> has 3 parts that must each be set up within 1" of at least 1 other part.|Dark feathers borne on the wind coalesce to form the terrible shapes of the Ravening Direflock.|Special|false|Your Hero Phase|Summon, Spell|Hero Phase|Spell|7|
BoC|000000519|Manifestation Lore|000001927|Bestial Manifestations|4|SUMMON DOOMBLAST DIRGEHORN|<b>Declare:</b> If there is not a friendly <a href="/aos4/factions/beasts-of-chaos/Doomblast-Dirgehorn"><b>Doomblast Dirgehorn</b></a> on the battlefield, pick a friendly <span class="tooltip00365" data-tooltip-content="#tooltip_content00365" data-tooltip-anchor="#tooltip_content00365"><span class="kwb">BEASTS</span> <span class="kwb2">OF</span> <span class="kwb">CHAOS</span> <span class="kwb">WIZARD</span></span> to cast this spell, then make a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> of 2D6.<br><br><b>Effect:</b> Set up a <b>Doomblast Dirgehorn</b> wholly within 18" of the caster.|Drawn from beneath the earth, animal bones are fused into the shape of a giant horn.|Special|false|Your Hero Phase|Summon, Spell|Hero Phase|Spell|6|
