id|name|faction_id|source_id|legend|regiment_options|notes|description|role|virtual|no_reinforced|link|Move|Save|Control|Health|Ward|UnitSize|Cost|
000000604|Gors|BoC||Gors form the greater mass of a beastherd’s fighting force. Taller and more robust than humans, these vicious warriors wield axes and pitted swords. They rely upon superior numbers and the element of surprise to overcome their foes, crushing their will to fight with sudden, devastating stampedes.|Brayherd, Infantry|This unit will move to Warhammer Legends on 1 June 2025.||Infantry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Gors|6"|5+|1|1||10|100|
000000605|Ungors|BoC||The most man-like of the gor-kin, Ungors are tormented and despised by their stronger cousins. They take out their bitterness on their enemies, spitefully thrusting their shortspears into throats and bellies and darting away before the foe can retaliate.|Brayherd, Infantry|This unit will move to Warhammer Legends on 1 June 2025.||Infantry|false|false|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Ungors|6"|5+|1|1||10|90|
000000606|Chaos Gargant|BoC||Lumbering, living totems of corruption, Chaos Gargants combine the formidable strength of their kind with all manner of gruesome mutations. Swinging crude weapons and hollering at the top of their lungs, they throw themselves into the thick of battle, stomping and crushing their foes beneath their cloven hooves.|Monster|This unit will move to Warhammer Legends on 1 June 2025.||Monster|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Chaos-Gargant|8"|5+|5|12||1|140|
000000607|Chimera|BoC||Warped and ravenous alphapredators of the Chaos wilds, Chimeras are tri-headed abominations that descend from the skies to overwhelm their prey. Three monstrous heads rip, tear and spit streams of fire even as the beast’s vicious claws maul and mutilate.|Monster|This unit will move to Warhammer Legends on 1 June 2025.||Monster|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Chimera|10"|5+|5|12||1|200|
000000608|Cygor|BoC||Cygors are blind to the physical world but can sense and follow the trails of magic that permeate reality. They seek out sorcerers, wizards and other beings rich in eldritch power, cramming these spellcasters into their slavering maws and feasting upon the raw magic that spills from their broken bodies.|Monster|This unit will move to Warhammer Legends on 1 June 2025.||Monster|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Cygor|8"|5+|5|15||1|170|
000000609|Ghorgon|BoC||The terrifying, four-armed colossi known as Ghorgons are cursed with an unquenchable desire for raw meat. Even as they hack and kill with bladed forelimbs, a second pair of arms stuffs ruptured corpses and strips of flesh into the Ghorgon’s drooling maw.|Monster|This unit will move to Warhammer Legends on 1 June 2025.||Monster|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Ghorgon|8"|5+|5|15||1|180|
000000610|Jabberslythe|BoC||Jabberslythes are nightmarish fusions of reptile, amphibian and insect, with sharp claws and a spiked tail that can punch through solid steel. They are so unearthly in their hideousness that to merely look upon one is to risk insanity.|Monster|This unit will move to Warhammer Legends on 1 June 2025.||Monster|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Jabberslythe|10"|4+|5|12||1|190|
000000611|Beastlord|BoC||In the merciless society of the Beasts of Chaos, only the mightiest rise to power. These are the Beastlords, hulking killers who command through intimidation and brutality and delight in sinking their man-ripper axes into the skulls of their foes.|0-1 %000013865Herd Alpha%. Any %000002678Beasts of Chaos%|This <span class="kwb">HERO</span> can join an eligible regiment as a Herd Alpha.<br>This unit will move to Warhammer Legends on 1 June 2025.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Beastlord|6"|4+|2|6||1|150|
000000612|Doombull|BoC||Doombulls are the strongest and most ferocious of their kind, swollen with muscle and as broad as they are tall. They feast upon only the worthiest foes, sating their bloodgreed with the gore of champions and heroes.|0-1 %000013865Herd Alpha%. Any %000002678Beasts of Chaos%|This <span class="kwb">HERO</span> can join an eligible regiment as a Herd Alpha.<br>This unit will move to Warhammer Legends on 1 June 2025.||Infantry Hero|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Doombull|6"|5+|2|8||1|170|
000000613|Dragon Ogor Shaggoth|BoC||Dragon Ogor Shaggoths are ancient and powerful beings imbued with the coruscating power of the storm. When they go to war, the mountains themselves tremble and foes are hewn apart by the score.|0-1 %000013865Herd Alpha%. Any %000002678Beasts of Chaos%|This unit will move to Warhammer Legends on 1 June 2025.||Monster Hero|false|true|https://wahapedia.ru/aos4/factions/beasts-of-chaos/Dragon-Ogor-Shaggoth|8"|4+|2|10||1|220|
