warscroll_id|line|name|description|legend|ability_type|is_reaction|condition|keywords|ability_phase|points_type|points|
000000009|1|Netters|<b>Declare:</b> Pick an enemy <span class="kwb">INFANTRY</span> unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, subtract 1 from <a href="">hit rolls</a> for the target’s attacks for the rest of the turn.|Moonclan grots use throwing nets to capture Cave Squigs and entangle their foes.|Defensive|false|Any Combat Phase||Combat Phase|||
000000010|1|Netters|<b>Declare:</b> Pick an enemy <span class="kwb">INFANTRY</span> unit in combat with this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 3+, subtract 1 from <a href="">hit rolls</a> for the target’s attacks for the rest of the turn.|Moonclan grots use throwing nets to capture Cave Squigs and entangle their foes.|Defensive|false|Any Combat Phase||Combat Phase|||
000000011|1|Greater Regeneration|<b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (D6)</a></b> this unit.|As it gets to eat all the best mushrooms, a Troggboss’s regenerative capacity is more pronounced than that of the average troggoth.|Defensive|false|Start of Any Turn||Start of Turn|||
000000011|2|Magical Resistance|<b>Effect:</b> If this unit was picked to be the target of that spell, roll a dice. On a 4+, ignore the effect of that spell on this unit.|The realmstone-infused mushrooms that Dankhold Troggoths consume make them naturally resistant to the effects of magic.|Defensive|true|Reaction: Opponent declared a <ky>SPELL</ky> ability||Hero Phase|||
000000011|3|Shepherd of Destruction|<b>Effect:</b> Roll a dice. On a 4+, for the rest of the turn, add 1 to the Attacks characteristic of melee weapons used by friendly <span class="tooltip00035" data-tooltip-content="#tooltip_content00035" data-tooltip-anchor="#tooltip_content00035"><span class="kwb">TROGGOTH</span></span> units while they are wholly within 12" of this unit.|The Dankhold Troggboss bellows so loudly that the beasts of its herd come dangerously close to actually focusing their brutish efforts.|Offensive|false|Once Per Turn (Army), Any Combat Phase|Rampage|Combat Phase|||
000000012|1|Deffcap Mushroom|<b>Effect:</b> Add 1 to this unit’s <a href="/aos4/the-rules/the-core-rules/#Power-Level">power level</a> for the rest of the turn.|The Fungoid Cave-Shamans claim that eating Deffcaps allows them to commune with those who have passed on to the ‘Great Green’. Though such is debatable, the mushroom’s effect on the shaman’s spellcasting abilities is beyond doubt.|Special|false|Once Per Battle, Your Hero Phase||Hero Phase|||
000000013|1|Squig Rage|<b>Effect:</b> While this unit has 10 or more damage points, the Attacks characteristic of its <b>Huge Fang-filled Gobs</b> is 6.|As Mangler Squigs are wounded in battle, they become even more irate and violent.|Damage|false|Passive||Start of Turn|||
000000013|2|Ker-Splat!|<b>Declare:</b> If this unit charged this phase, pick an enemy unit within 1" of it to be the target.<br><br><b>Effect:</b> Roll a dice for each model in the target unit, to a maximum of 10. For each 4+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.|Mangler Squigs produce an impact that is nothing short of spectacular, sending severed body parts and splashes of gore skywards.|Offensive|false|Once Per Turn (Army), Any Charge Phase|Rampage|Charge Phase|||
000000013|3|Watch Out!|<b>Effect:</b> If this unit is destroyed, before removing it from play, roll a dice for each enemy unit within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a>. On a 4+, inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on that unit.|Mangler Squigs are capable of great destruction even in their wildly bouncing death throes|Offensive|false|Passive||Combat Phase|||
000000013|4|Bite Da Moon!|<b>Declare:</b> Pick this unit and all friendly <span class="tooltip00036" data-tooltip-content="#tooltip_content00036" data-tooltip-anchor="#tooltip_content00036"><span class="kwb">SQUIG</span></span> units wholly within 12" of this unit to be the targets.<br><br><b>Effect:</b> Add 1 to <a href="">hit rolls</a> for attacks made with the targets’ <b>Fang-filled Gobs</b>, <b>Massive Fang-filled Gobs</b> and <b>Huge Fang-filled Gobs</b> for the rest of the turn.|With a manic shriek, the Loonboss drives nearby squigs into an even greater frenzy, goading them to chomp through the enemy’s lines with all haste so that they can continue their pursuit of the Bad Moon.|Offensive|false|Once Per Battle (Army), Any Combat Phase||Combat Phase|||
000000014|1|Let’s Get Bouncin’!|<b>Effect:</b> Pick a friendly <span class="tooltip00037" data-tooltip-content="#tooltip_content00037" data-tooltip-anchor="#tooltip_content00037"><span class="kwnon">non-</span><span class="kwb">HERO</span> <span class="kwb">MOONCLAN</span> <span class="kwb">CAVALRY</span></span> unit that has not used a <a href="/aos4/the-rules/the-core-rules/#Fight-Abilities"><span class="kwb">FIGHT</span> ability</a> this turn and is within this unit’s <a href="/aos4/the-rules/the-core-rules/#Combat-Range">combat range</a> to be the target. The target can be picked to use a <span class="kwb">FIGHT</span> ability immediately after the <span class="kwb">FIGHT</span> ability used by this unit has been resolved.|As their Giant Cave Squig leaps and bounds towards the enemy lines, the Loonboss signals the command for other squig-riders to join the fight and get stabbin’!|Offensive|true|Reaction: You declared a <ky>FIGHT</ky> ability for this unit||Combat Phase|||
000000015|1|Gobbled Up|<b>Declare:</b> Pick an enemy unit within 1" of this unit to be the target.<br><br><b>Effect:</b> Roll a dice. If the roll equals or exceeds the target’s Health characteristic, 1 model in the target unit is slain.|This especially bloated and gluttonous squig is known to devour enemies whole if it gets the chance.|Offensive|false|End of Any Turn||End of Turn|||
000000015|2|Goin’ Somewhere?|<b>Effect:</b> If a friendly <span class="tooltip00038" data-tooltip-content="#tooltip_content00038" data-tooltip-anchor="#tooltip_content00038"><span class="kwb">MOONCLAN</span> <span class="kwb">INFANTRY</span></span> unit wholly within 12" of this unit uses the ‘<a href="">Rally</a>’ command, you can make 3 additional rally rolls of D6. However, friendly <span class="kwb">MOONCLAN</span> <span class="kwb">INFANTRY</span> units cannot use <span class="kwb">RETREAT</span> abilities while they are within 12" of this unit.|This Loonboss will not tolerate ill-timed cowardice from his underlings and will have his ravenous pet make an example of any grots who look ready to leg it.|Special|false|Passive||Start of Turn|||
000000016|1|Madcap Mushroom|<b>Effect:</b> For the rest of the turn:<br><ul><li>Add 1 to this unit’s <a href="/aos4/the-rules/the-core-rules/#Power-Level">power level</a>.</li><li>If 2 or more dice in a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> for this unit have the same value, inflict D3 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on this unit after the <span class="kwb">SPELL</span> ability has been resolved.</li></ul>|This mushroom enhances the eater’s magical capabilities – as long as it does not turn out to be a deadly poisonous Madcap Toadstool…|Special|false|Once Per Battle, Your Hero Phase||Hero Phase|||
000000017|1|Regeneration|<b>Effect:</b> <b><a href="/aos4/the-rules/the-core-rules/#Healing">Heal (D3)</a></b> this unit.|Troggoths are able to regrow injured flesh almost as quickly as it is harmed.|Defensive|false|Start of Any Turn||Start of Turn|||
000000017|2|Mollog’s Mob|<b>Effect:</b> This unit’s <b>Bat Squig</b>, <b>Spiteshroom</b> and <b>Stalagsquig</b> are <a href="/aos4/the-rules/the-core-rules/#Tokens">tokens</a>. After setting up this unit on the battlefield for the first time, place its tokens next to it.|A strange assortment of squiggly beasts accompany Mollog to battle.|Special|false|Passive||Start of Turn|||
000000017|3|Bitey Distractions|<b>Effect:</b> This unit has <a href="/aos4/the-rules/the-core-rules/#Ward-Saves">WARD (5+)</a> while any of its <a href="/aos4/the-rules/the-core-rules/#Tokens">tokens</a> are on the battlefield.|The pesky beasts that flock to Mollog often prove to be an unwelcome distraction to the troggoth’s foes.|Defensive|false|Passive||Defensive reaction|||
000000017|4|Unleash The Critters!|<b>Effect:</b> Pick 1 of the following effects:<br><br><i><b>Spore Cloud:</b></i> Remove this unit’s <b>Spiteshroom</b>. For the rest of the turn, subtract 1 from <a href="">hit rolls</a> for attacks made by enemy units while they are in combat with this unit.<br><br><i><b>Bat Squig Attack!:</b></i> Remove this unit’s <b>Bat Squig</b>. Pick an enemy unit in combat with this unit to be the target and roll a D3. On a 2+, inflict an amount of <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target equal to the roll.<br><br><i><b>Rock-hard Skin:</b></i> Remove this unit’s <b>Stalagsquig</b>. Ignore all modifiers to <a href="">save rolls</a> for this unit (positive and negative) for the rest of the turn.|Each of the unusual creatures that remain close to Mollog can unleash nasty surprises of their own.|Special|false|Any Combat Phase||Combat Phase|||
000000018|1|Scuttle Away!|<b>Declare:</b> If this unit is in combat, pick this unit and up to 1 friendly <a href="/aos4/factions/gloomspite-gitz/Spider-Riders"><b>Spider Riders</b></a> unit that is in combat and wholly within 12" of this unit to be the targets.<br><br><b>Effect:</b> The targets can immediately use the ‘<a href="">Retreat</a>’ ability as if it were your movement phase without any <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> being inflicted on them.|Masters of feigned flight and other such sneaky tactics, the Scuttleboss orders his Spider Riders to flee to a more advantageous position.|Movement|false|Once Per Turn (Army), End of Any Turn||End of Turn|||
000000018|2|Wall Crawler|<b>Effect:</b> This unit can pass across <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain features</a> as if it had <a href=""><span class="kwb">FLY</span></a>.|The Spiderfang’s arachnid allies can skitter up and down vertical surfaces as if they were flat ground.|Movement|false|Passive||Movement Phase|||
000000019|1|The Loonking’s Entreaty|<b>Effect:</b> <a href="/aos4/factions/gloomspite-gitz/#Battle-Traits">The face of the Bad Moon</a> stays in its current position this battle round instead of moving to the next face in the sequence.|The captive seers and prophets of Skragrott’s asylum can sometimes predict when the Bad Moon will accelerate or slow in its erratic orbits of the Mortal Realms. Skragrott uses this information to convince his followers that the Bad Moon listens when he entreats it to halt or move to a specific location.|Special|true|Once Per Battle (Army), Reaction: You declared the ‘%000015359The Faces of the Bad Moon%’ ability||Start of Turn|||
000000019|2|Fangz of Da Bad Moon|<b>Declare:</b> Pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> enemy unit within 18" of this unit to be the target, then make a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> of 2D6.<br><br><b>Effect:</b> Roll a number of dice equal to the unmodified casting roll. For each 3+, inflict 1 <a href="/aos4/the-rules/the-core-rules/#Mortal-Damage">mortal damage</a> on the target.|As Skragrott tells it, a single shrieked invocation from him – arms raised high into the air – can compel the Bad Moon to belch a rain of fiendishly accurate loonstone fangz over the enemy.|Offensive|false|Your Hero Phase|Spell|Hero Phase|Spell|7|
000000019|3|Babbling Wand|<b>Effect:</b> Each time a friendly <span class="tooltip00039" data-tooltip-content="#tooltip_content00039" data-tooltip-anchor="#tooltip_content00039"><span class="kwb">MOONCLAN</span></span> unit wholly within 12" of this unit uses the ‘<a href="">Redeploy</a>’ command, no command points are spent.|This jabbering wand, said to be topped with the skull of the great prophet Kaloth, channels the voices of Skragrott’s imprisoned scryers through clacking teeth.|Movement|true|Reaction: You declared the ‘%000009837Redeploy%’ command for a friendly %000000543MOONCLAN% unit wholly within 12" of this unit||Start of Turn|||
000000020|1|Speed of the Spider God|<b>Declare:</b> Pick a <a href="/aos4/the-rules/the-core-rules/#Visibility">visible</a> friendly <span class="tooltip00040" data-tooltip-content="#tooltip_content00040" data-tooltip-anchor="#tooltip_content00040"><span class="kwb">SPIDERFANG</span></span> unit wholly within 12" of this unit to be the target, then make a <a href="/aos4/the-rules/the-core-rules/#Spells">casting roll</a> of 2D6.<br><br><b>Effect:</b> The target can use a <span class="kwb">RUN</span> ability this turn and still use <span class="kwb">SHOOT</span> and/or <span class="kwb">CHARGE</span> abilities later in the turn.|With a shriek, the shaman calls upon the Spider God to imbue its worshippers with preternatural speed.|Movement|false|Your Hero Phase|Spell|Hero Phase|Spell|6|
000000020|2|Web Slingshot|<b>Declare:</b> Pick a friendly <span class="tooltip00040" data-tooltip-content="#tooltip_content00040" data-tooltip-anchor="#tooltip_content00040"><span class="kwb">SPIDERFANG</span></span> unit or <a href="/aos4/the-rules/the-core-rules/#Terrain-2025-26">terrain feature</a> within 18" of this unit to be the target.<br><br><b>Effect:</b> Roll a dice. On a 2+, remove this unit from the battlefield and set it up again wholly within 3" of the target and more than 9" from all enemy units.|The Webspinner Shaman conjures a sheet of webbing that they then use to launch themselves across the battlefield.|Movement|false|Your Hero Phase||Hero Phase|||
000000022|1|Zarbag|<b>Effect:</b> While this unit’s <b>Zarbag</b> is on the battlefield, it has <a href="/aos4/the-rules/the-core-rules/#Power-Level">WIZARD (1)</a>.|Leading the Gitz is a powerful shaman who can call upon the powers of the Bad Moon in battle.|Special|false|Passive||Hero Phase|||
