warscroll_id|line|name|Rng|Atk|Hit|Wnd|Rnd|Dmg|type|abilities|has_battle_damage|
000000009|1|Moonclan Bow|18"|2|4+|5+|-|1|RANGED||false|
000000009|2|Moonclan Bow||1|4+|5+|-|1|MELEE||false|
000000010|1|Stabba||2|4+|5+|-|1|MELEE||false|
000000011|1|Boulder Club||5|4+|2+|2|D6|MELEE||false|
000000012|1|Moon-sickle||3|4+|4+|1|2|MELEE||false|
000000012|2|Spore Squig’s Vicious Teeth||2|4+|3+|1|1|MELEE|Companion|false|
000000013|1|Moon-cutta||5|4+|4+|1|2|MELEE||false|
000000013|2|Huge Fang-filled Gobs||4|4+|2+|1|D6|MELEE|Companion|true|
000000013|3|Balls and Chains||4|4+|4+|-|D3|MELEE|Companion|false|
000000014|1|Moon-cutta or Loonboss Stabba||5|4+|4+|1|2|MELEE|Charge (+1 Damage)|false|
000000014|2|Massive Fang-filled Gob||4|4+|3+|2|D3|MELEE|Companion|false|
000000015|1|Massive Fang-filled Gob||4|4+|3+|2|D3|MELEE|Companion|false|
000000015|2|Moon-prodder||5|4+|4+|1|2|MELEE||false|
000000016|1|Moon Staff||3|4+|4+|1|D3|MELEE||false|
000000017|1|Jabbertoad|8"|1|4+|4+|-|D3|RANGED|Shoot in Combat|false|
000000017|2|Puff-fungus Club||4|4+|2+|2|3|MELEE||false|
000000018|1|Envenomed Spear||5|4+|4+|1|2|MELEE||false|
000000018|2|Gigantic Fangs||4|4+|3+|1|2|MELEE|Crit (Mortal), Companion|false|
000000019|1|Da Moon Onna Stikk||4|3+|4+|1|D3|MELEE||false|
000000020|1|Spider God Staff||3|4+|5+|-|D3|MELEE|Crit (Mortal)|false|
000000022|1|Moonclan Bow|18"|2|4+|5+|-|1|RANGED||false|
000000022|2|Git Weapons||2|4+|5+|1|1|MELEE||false|
000000022|3|Moonclan Bow||1|4+|5+|-|1|MELEE||false|
000000023|1|Moon-slicer||5|4+|4+|1|D3|MELEE||false|
000000024|1|Spider-bows|18"|10|4+|5+|-|1|RANGED||false|
000000024|2|Spider God Staff||3|4+|5+|-|D3|MELEE|Crit (Mortal)|false|
000000024|3|Crooked Spears||8|4+|5+|-|1|MELEE||false|
000000024|4|Monstrous Spider Fangs||4|3+|2+|1|3|MELEE|Crit (Mortal), Companion|false|
000000024|5|Chitinous Legs||8|4+|2+|1|1|MELEE|Companion|true|
000000025|1|Throwin’ Rocks|12"|1|5+|2+|2|D3|RANGED||false|
000000025|2|Massive Club||4|4+|2+|1|2|MELEE||false|
000000025|3|’Eadbutt||1|4+|2+|2|4|MELEE||false|
000000025|4|Mighty Kick||1|4+|2+|2|D3|MELEE||false|
000000026|1|Flinger|24"|D3|4+|3+|-|1|RANGED|Crit (2 Hits)|false|
000000026|2|Spider-bows|18"|10|4+|5+|-|1|RANGED||false|
000000026|3|Crooked Spears||10|5+|4+|-|1|MELEE||false|
000000026|4|Monstrous Spider Fangs||4|3+|2+|1|3|MELEE|Crit (Mortal), Companion|false|
000000026|5|Chitinous Legs||8|4+|2+|1|1|MELEE|Companion|true|
000000027|1|Spider-bows|18"|10|4+|5+|-|1|RANGED||false|
000000027|2|Crooked Spears||10|5+|4+|-|1|MELEE||false|
